Description,Selection Return 01/04/1999 - 01/29/1999,Selection Return 02/01/1999 - 02/26/1999,Selection Return 03/01/1999 - 03/31/1999,Selection Return 04/01/1999 - 04/30/1999,Selection Return 05/03/1999 - 05/28/1999,Selection Return 06/01/1999 - 06/30/1999,Selection Return 07/01/1999 - 07/30/1999,Selection Return 08/02/1999 - 08/31/1999,Selection Return 09/01/1999 - 09/30/1999,Selection Return 10/01/1999 - 10/29/1999,Selection Return 11/01/1999 - 11/30/1999,Selection Return 12/01/1999 - 12/31/1999,Selection Return 01/03/2000 - 01/31/2000,Selection Return 02/01/2000 - 02/29/2000,Selection Return 03/01/2000 - 03/31/2000,Selection Return 04/03/2000 - 04/28/2000,Selection Return 05/01/2000 - 05/31/2000,Selection Return 06/01/2000 - 06/30/2000,Selection Return 07/03/2000 - 07/31/2000,Selection Return 08/01/2000 - 08/31/2000,Selection Return 09/01/2000 - 09/29/2000,Selection Return 10/02/2000 - 10/31/2000,Selection Return 11/01/2000 - 11/30/2000,Selection Return 12/01/2000 - 12/29/2000,Selection Return 01/02/2001 - 01/31/2001,Selection Return 02/01/2001 - 02/28/2001,Selection Return 03/01/2001 - 03/30/2001,Selection Return 04/02/2001 - 04/30/2001,Selection Return 05/01/2001 - 05/31/2001,Selection Return 06/01/2001 - 06/29/2001,Selection Return 07/02/2001 - 07/31/2001,Selection Return 08/01/2001 - 08/31/2001,Selection Return 09/04/2001 - 09/28/2001,Selection Return 10/01/2001 - 10/31/2001,Selection Return 11/01/2001 - 11/30/2001,Selection Return 12/03/2001 - 12/31/2001,Selection Return 01/02/2002 - 01/31/2002,Selection Return 02/01/2002 - 02/28/2002,Selection Return 03/01/2002 - 03/28/2002,Selection Return 04/01/2002 - 04/30/2002,Selection Return 05/01/2002 - 05/31/2002,Selection Return 06/03/2002 - 06/28/2002,Selection Return 07/01/2002 - 07/31/2002,Selection Return 08/01/2002 - 08/30/2002,Selection Return 09/03/2002 - 09/30/2002,Selection Return 10/01/2002 - 10/31/2002,Selection Return 11/01/2002 - 11/29/2002,Selection Return 12/02/2002 - 12/31/2002,Selection Return 01/02/2003 - 01/31/2003,Selection Return 02/03/2003 - 02/28/2003,Selection Return 03/03/2003 - 03/31/2003,Selection Return 04/01/2003 - 04/30/2003,Selection Return 05/01/2003 - 05/30/2003,Selection Return 06/02/2003 - 06/30/2003,Selection Return 07/01/2003 - 07/31/2003,Selection Return 08/01/2003 - 08/29/2003,Selection Return 09/02/2003 - 09/30/2003,Selection Return 10/01/2003 - 10/31/2003,Selection Return 11/03/2003 - 11/28/2003,Selection Return 12/01/2003 - 12/31/2003,Selection Return 01/02/2004 - 01/30/2004,Selection Return 02/02/2004 - 02/27/2004,Selection Return 03/01/2004 - 03/31/2004,Selection Return 04/01/2004 - 04/30/2004,Selection Return 05/03/2004 - 05/28/2004,Selection Return 06/01/2004 - 06/30/2004,Selection Return 07/01/2004 - 07/30/2004,Selection Return 08/02/2004 - 08/31/2004,Selection Return 09/01/2004 - 09/30/2004,Selection Return 10/01/2004 - 10/29/2004,Selection Return 11/01/2004 - 11/30/2004,Selection Return 12/01/2004 - 12/31/2004,Selection Return 01/03/2005 - 01/31/2005,Selection Return 02/01/2005 - 02/28/2005,Selection Return 03/01/2005 - 03/31/2005,Selection Return 04/01/2005 - 04/29/2005,Selection Return 05/02/2005 - 05/31/2005,Selection Return 06/01/2005 - 06/30/2005,Selection Return 07/01/2005 - 07/29/2005,Selection Return 08/01/2005 - 08/31/2005,Selection Return 09/01/2005 - 09/30/2005,Selection Return 10/03/2005 - 10/31/2005,Selection Return 11/01/2005 - 11/30/2005,Selection Return 12/01/2005 - 12/30/2005,Selection Return 01/03/2006 - 01/31/2006,Selection Return 02/01/2006 - 02/28/2006,Selection Return 03/01/2006 - 03/31/2006,Selection Return 04/03/2006 - 04/28/2006,Selection Return 05/01/2006 - 05/31/2006,Selection Return 06/01/2006 - 06/30/2006,Selection Return 07/03/2006 - 07/31/2006,Selection Return 08/01/2006 - 08/31/2006,Selection Return 09/01/2006 - 09/29/2006,Selection Return 10/02/2006 - 10/31/2006,Selection Return 11/01/2006 - 11/30/2006,Selection Return 12/01/2006 - 12/29/2006,Selection Return 01/03/2007 - 01/31/2007,Selection Return 02/01/2007 - 02/28/2007,Selection Return 03/01/2007 - 03/30/2007,Selection Return 04/02/2007 - 04/30/2007,Selection Return 05/01/2007 - 05/31/2007,Selection Return 06/01/2007 - 06/29/2007,Selection Return 07/02/2007 - 07/31/2007,Selection Return 08/01/2007 - 08/31/2007,Selection Return 09/04/2007 - 09/28/2007,Selection Return 10/01/2007 - 10/31/2007,Selection Return 11/01/2007 - 11/30/2007,Selection Return 12/03/2007 - 12/31/2007,Selection Return 01/02/2008 - 01/31/2008,Selection Return 02/01/2008 - 02/29/2008,Selection Return 03/03/2008 - 03/31/2008,Selection Return 04/01/2008 - 04/30/2008,Selection Return 05/01/2008 - 05/30/2008,Selection Return 06/02/2008 - 06/30/2008,Selection Return 07/01/2008 - 07/31/2008,Selection Return 08/01/2008 - 08/29/2008,Selection Return 09/02/2008 - 09/30/2008,Selection Return 10/01/2008 - 10/31/2008,Selection Return 11/03/2008 - 11/28/2008,Selection Return 12/01/2008 - 12/31/2008,Selection Return 01/02/2009 - 01/30/2009,Selection Return 02/02/2009 - 02/27/2009,Selection Return 03/02/2009 - 03/31/2009,Selection Return 04/01/2009 - 04/30/2009,Selection Return 05/01/2009 - 05/29/2009,Selection Return 06/01/2009 - 06/30/2009
Jennison 20/20 Focus A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.195678,1.045536,-1.200448,-0.394394,0.630683,-2.279509,-0.634893,2.136269,0.770775,-1.021242,-0.682872,0.760093,0.283781,1.871904,-1.931726,-0.802412,0.489265,-0.558675,-0.914102,0.290087,-2.411621,-0.459028,2.027197,-1.896079,-1.99323,0.482462,2.151435,-0.629065,0.173891,-0.135524,0.819694,-0.340185,2.456191,-0.768437,-0.769905,2.276609,-0.889285,-0.370225,-0.514225,-0.684935,1.627672,1.291768,0.270621,1.368551,1.108769,0.64082,2.063057,2.009722,0.720402,-0.388515,-0.205331,-0.253679,-0.91797,-0.70953,-0.153425,0.218562,-0.053881,0.127578,0.168913,1.210503,-1.347715,-0.127159,-0.132991,-0.534479,-0.5967,0.749985,-1.680164,0.862492,-0.177809,-1.510364,-0.712728,1.9723,1.589338,0.338481,-2.062107,0.777304,-1.544024,1.040006,3.937833,1.407041,2.323526,0.998528,-0.743655,-3.777748,0.378406,-0.232088,-1.799608,4.573277,0.11427,-1.416272,-3.306634,3.93557,1.08313
Jennison Blend B,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.076492,-0.183551,-0.77191,-0.143676,-0.061292,-1.167076,-0.443197,0.263212,-0.167958,-0.621848,-0.126985,0.082562,-0.464797,-0.210608,-0.871588,0.052203,0.002906,-0.891172,0.126057,0.103427,-0.339972,0.434362,0.36418,-0.970561,-0.34933,-0.140576,0.518933,-1.199254,0.352283,-0.680287,0.200026,0.236835,0.715654,0.329139,-0.659504,-0.3068,-0.796578,-1.279243,-0.728917,-1.219227,-0.421522,0.647109,-0.201961,1.184802,0.435767,0.913051,1.73595,2.139759,0.105272,-0.456412,-0.179479,0.340046,-2.046989,-0.830204,-0.206011,-0.022208,-0.36154,0.236004,0.105951,0.858396,-1.31102,-0.651903,0.057061,-0.387462,-0.632203,0.541199,-1.065755,0.184616,-0.099168,-1.216527,-0.734741,0.856906,0.459417,-0.141263,-1.248871,-0.0451,-1.469692,-1.091907,2.056765,0.502875,0.41219,-0.214827,-0.178716,-1.671073,0.249867,0.510563,-1.385107,3.125248,-1.376395,-0.748146,-1.232729,0.977392,-0.286477
Jennison Conservative Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.299058,1.363993,-4.744529,3.958897,-4.409064,3.27378,-1.603727,0.376514,0.074839,-1.343446,-1.431713,-3.80566,2.527686,2.184473,-3.14223,0.280377,1.765531,-0.234624,1.676878,-1.488924,-1.747342,1.204725,-0.871016,-1.790037,1.362682,0.115324,-0.755562,-0.578475,-0.787671,-0.669138,-2.453704,1.254219,-0.228249,-0.206937,-1.100905,-0.601699,1.019898,-0.822277,-0.058664,-0.596061,-0.086029,-0.998741,-0.530319,1.283653,-0.943441,-0.194327,0.476221,1.048359,1.599394,0.358142,-0.020815,-0.841255,-1.034159,-1.244485,-0.279867,-1.451016,0.09857,-0.099249,-0.114094,1.349531,-2.361505,-0.678513,-0.065961,-0.185525,-0.055398,-1.210153,-1.422422,-0.005168,-1.24091,-0.25955,0.43711,1.127936,0.792914,0.079274,-0.302573,0.17336,-0.746576,0.469277,-0.339669,-0.711987,0.011596,-0.315326,-0.1121,1.530246,-2.102113,0.435864,-1.576506,2.189109,0.126806,-0.694855,1.049852,-0.029177,-0.819486
Jennison Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.047412,1.13733,-0.721885,-0.869705,1.016434,-1.725788,-0.646646,0.574716,-0.025335,-1.164903,-0.225366,-0.033798,-0.305085,-0.742226,-2.121717,0.29658,-0.510814,-0.164785,0.492513,-0.355914,-1.574438,0.712328,0.588855,-1.746553,-0.09169,-0.563911,0.47098,-1.053214,0.768137,-0.37445,-0.335822,0.032216,0.628454,0.400981,-0.249298,0.840433,1.39267,-0.474666,-0.373825,-1.184777,0.032104,-0.098727,1.217382,3.106434,-0.921943,0.931529,0.413739,1.099786,2.003564,0.471241,0.042303,-0.122208,-1.490223,-1.710731,-0.913151,-2.469922,-0.29737,-0.883198,0.008167,1.552878,-1.690268,-0.418632,-0.709942,-0.188995,0.062911,-0.081204,-2.12537,-0.408516,-1.13879,-0.421482,0.377208,1.351007,1.052041,0.34053,-0.800934,-1.897664,-0.539066,0.269509,0.66734,-0.35902,0.40054,-0.458281,-0.470624,-0.249215,0.252265,-0.444096,-0.704528,3.101319,0.139904,-0.610694,0.170226,-0.116035,-0.25486
Jennison Select Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.288577,1.767206,-0.966409,-2.33206,0.945704,-0.480902,0.08888,1.373873,2.183057,-1.527778,1.138885,0.560907,1.303801,-1.258383,-2.769648,-1.096059,-0.305491,2.13978,0.252855,-2.068832,-2.509803,1.950666,0.919865,-2.346475,-0.092768,-1.574728,1.235862,-1.238344,-0.38666,0.517198,-0.106709,1.122759,0.535892,-0.292569,0.061763,2.315504,-0.005206,0.884075,-0.143417,-1.237325,-0.611729,-0.449531,0.829792,3.428929,-1.320383,1.742392,-0.042327,1.808634,2.317213,0.588434,0.407559,-1.446588,-1.752879,-2.379565,-0.749413,-2.604197,-0.805751,-1.078262,-0.14927,1.766565,-2.303359,0.146423,-1.028811,0.05233,0.34653,-0.133716,-2.36577,-0.429001,-1.05589,-0.499648,0.555172,1.996899,0.599912,0.422172,0.01651,-2.701846,-1.171165,1.369004,0.766094,-0.237917,0.59523,0.033436,-0.917773,-0.225344,0.23201,-1.264278,4.01511,2.940949,0.261068,-1.271592,-1.685871,-0.26995,-0.141049
Jensen J,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.734163,0.774743,1.884775,0.73484,3.938976,-1.181749,2.065263,0.956528,-2.724338,0.499258,2.580793,1.149526,2.2593,-1.701012,0.732073,-2.517146,-2.264601,1.307863,-0.286461,-0.198392,-1.171112,0.066947,-0.542592,-0.213769,1.097434,-0.047662,0.582084,0.460431,-0.72392,0.890121,2.408671,-0.526249,-0.171333,-1.825825,0.698144,-1.122967,0.058926,-0.951924,1.716637,0.806257,-0.259548,0.487227,-0.079256,-2.491829,-0.28566,-0.485991,-0.935931,-0.54732,-0.263867,-0.842467,-0.055394,-0.480579,0.561831,0.148549,0.255993,1.006693,-1.320058,0.030074,0.167685,1.009178,0.712949,-0.456454,0.712494,0.295715,-1.082003,-0.701442,1.052418,0.527424,-0.736855,0.600434,-0.350793,0.675952,-0.045586,3.170664,-0.495625,-1.381336,-0.239211,1.695498,-2.171159,-0.747457,0.252534,2.955718,0.652777,2.633374,-1.608954,1.001507,-3.596232,1.65315,-1.728594,-0.256276,1.674245,-1.412483,2.43155
Johnson Dynamic Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.180479,0.707834,-1.091915,0.490876,-0.522165,1.052173,1.61848,0.703685,-0.45411,-1.286709,-0.080477,-0.47488,-1.310885,0.126901,-1.141507,-0.610113,0.694205,-0.656748,0.945467,2.334563,-2.45098,-0.113572,-1.831122,0.386092,1.529154,1.166079,2.387952,-0.382444,0.717803,-4.029842,0.32537,-1.526886,-0.439882,-0.40711,-2.442014,-1.346967,2.594237,-0.594489,-1.191955,0.254217,-1.364903
Johnson Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.546573,1.062912,-0.061712,-1.699843,-0.859529,0.607333,-0.77782,-0.710498,0.04193,0.176314,-0.72835,0.25427,-0.409441,-1.835974,0.199299,-1.300211,-1.234905,-0.253456,0.12679,-0.580043,-0.967344,0.715271,-0.026386,-1.540919,-0.264291,0.361964,-0.402374,-0.751221,0.09277,0.100938,0.911225,0.243135,-0.093983,-0.045979,-0.226949,0.297562,0.561609,0.230629,-0.021777,-0.64186,1.504337,-0.074931,0.038321,0.127494,-0.011751,0.276911,-0.482959,-0.501368,0.685229,-1.470422,-0.956613,-0.381657,-0.209153,0.630854,0.935144,-0.750167,-0.775905,-0.008245,0.469349,0.326025,-1.258427,-0.332335,-0.107094,-0.332483,-0.49324,-0.455023,-0.043127,0.061473,0.982084,-0.314672,0.735842,0.816952,-0.501494,1.787104,-0.185428,0.520612,1.898775,0.277244,1.171739,-0.02957,0.812693,-1.143903,1.011566,0.5105,-2.418268,-0.2466,-1.76339,-0.522926,-0.300416,-1.356076,-0.885583,-0.456316,-0.978577
Jordan Opportunity,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.021701,0.249368,-0.491679,1.196601,1.317135,-1.099893,0.398741,-2.078023,2.502934,-0.052555,1.125237,1.391,-2.937921,0.973613,-0.2088,-1.071429,-0.230551,1.667025,-0.333321,-2.20251,-1.906115,2.354585,-2.286036,-0.932968,-1.485774,2.371439,1.586214,2.646178,1.06399,-0.044807,1.422681,1.146969,0.497862,-0.206385,0.697059,4.656048,0.424197,2.211653,4.25979,1.706272,5.426016,-6.155824,-1.7641,-0.096955,1.824382,-1.909278,-4.991517,0.633186,-0.613952,2.779366,-1.773865,5.947794,-0.846417
Keystone Large Cap Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.443487,-1.475985,1.032306,-0.544548,0.723986,-0.994009,1.261754,-1.707246,-0.962,0.26089,0.24999,1.130275,1.220553,-1.226384,0.232693,2.18286,-1.747503,-0.371962,0.517403,1.624228,-2.089412,-1.263364,-2.65172,1.359212,-2.401429,2.65283,1.443239,-0.111862,-0.663414,1.840831,4.106253,-0.417509,-1.208603,0.239593
LKCM Aquinas Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.934792,0.490092,0.54509,-0.307469,0.705617,-0.044129,-1.300964,0.553285,-0.090243,-0.085175,-0.739982,-2.261337,-1.061757,-2.496508,-0.834359,-0.538617,-3.017082,-0.023502,-0.605561,-0.537619,0.157264,-1.570655,-0.787718,-0.802143,-0.26448,-1.631298,1.330761,-0.515768,0.855117,-0.523309,-1.01154,0.526724,0.707515,-0.55365,0.174942,1.871688,-0.490411,1.612842,2.053495,-0.323375,1.706173,-0.214744,-1.226107,-0.343474,0.987644,-1.120074,1.646684,-1.797286,1.080493,-1.79234,-1.219016,0.588111,-0.558249,-1.682233
Lateef A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.914038,1.675051,-0.387462,1.193567,-2.028176,-3.974944,-0.956465,-2.018983,-3.106026,0.658877,3.681195,1.114317,0.033233,-0.289802,-1.611369,2.174075,1.021175,-0.302147,1.841067,-0.133414,-1.205574
Leeb Focus,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.849659,-0.840137,0.691797,1.266086,0.063489,-0.179839,0.173504,1.114884,1.483404,-0.230523,1.953496,1.995326,0.83676,-0.246447,0.949071,0.212469,0.930163,4.033194,-1.728449,-1.464848,1.72717,-4.168621,-0.910874,-1.571956,-1.019455,-0.806379,-1.59972,-3.405821,0.978588,-1.361291
Legg Mason Growth Trust C,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.236475,2.593405,0.969156,-1.207304,2.112192,-1.347402,-0.046771,2.202418,-0.179347,2.278427,5.398507,1.410292,11.830762,7.887563,-4.980531,2.666439,0.444055,0.761728,4.64125,5.884578,2.6809,-0.533012,1.311709,-0.198967,1.01515,0.732325,1.713544,-3.938049,-0.732364,1.045947,0.459923,1.283206,0.886306,-4.920986,-0.393343,1.531392,0.493393,1.986463,2.026963,-1.936759,-2.960317,-1.608629,2.617245,1.067645,-1.390091,-0.655995,-1.184358,1.669476,0.858663,2.489965,0.070906,-4.155525,-2.728627,-0.653774,-1.257137,-2.687101,0.26383,-4.471303,2.568864,-0.648949,1.095838,1.529752,-0.96304,0.050839,0.297541,-2.054698,2.691247,0.711338,0.184687,-1.904546,1.015553,2.669141,-0.562737,-1.79114,-2.756874,-0.312954,-1.564696,-0.280936,-3.891067,-2.233998,-4.466332,0.265349,-0.86185,-6.971486,-0.443274,-3.501802,-2.862909,-1.438131,-0.55368,-1.79097,-0.14469,-2.573366,-1.424446
Legg Mason Partners Aggressive Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.123063,-2.972074,0.413116,-4.85384,1.562005,-0.417741,-3.279907,-1.868513,-3.126418,0.617023,1.62136,1.471504,2.329461,1.599364,-1.819349,1.690743,-0.640726,1.789757,-0.438192,2.037824,-0.673875,-0.583035,-1.791693,0.475526,-2.653043,-0.324278,2.584909,2.835779,1.344099,-1.108784,-1.166005,0.416434,-1.491537,-0.520078,0.479939,1.527444,-2.73197,-0.635176,1.226098,-0.092729,-1.9873,1.065258,-0.70551,-0.089947,0.746966,2.722387,1.918964,0.21077,0.573101,-2.115936,0.592411,1.350027,-0.589293,-2.381142,-0.08762,-0.743051,-1.217736,0.631883,0.172397,-0.425616,-0.318716,-1.937548,-1.114663,-0.086715,-3.704426,-0.024471,1.169847,-1.790191,0.54505,-1.942214,-1.141851,0.418134,-1.313385,0.770665,-0.135952,1.924293,-0.392903,-3.511141,-1.277862,1.327138,-1.103795,1.083677,0.808532,-2.99595,-0.395243,0.469383,0.559105,3.761101,-2.959092,-1.238508,-1.600766,1.929558,-1.747575
Legg Mason Partners Diverse Lg Cp Gr A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.230482,-0.172807,-0.375542,0.012672,-0.631979,1.202186,0.490287,2.281306,-2.104305,-0.079202,-0.718632,-1.59189,-0.165801,0.068917,-1.275231,-0.201884,-2.044632,0.43811,0.759262,0.438607,1.88359,-2.218401,-0.412362,0.85291,2.085357,0.608477,2.23081,-1.192062,0.763552
Legg Mason Partners Large Cap Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.086459,1.761635,-2.457942,1.20923,-0.395976,0.925831,0.594789,0.099739,-0.850981,1.699267,-0.577845,-0.125289,1.012635,3.620497,-3.3919,0.760603,1.716246,0.278759,1.290193,3.497348,-0.071018,1.280971,-0.671377,-0.012699,1.288056,-0.228145,0.226614,0.224093,0.156467,-1.64552,0.7505,0.454454,-1.69041,-2.370205,-0.89322,-1.715226,-0.367638,-0.10527,1.822564,0.736375,-3.70165,0.297134,1.409626,1.660623,-1.511763,3.863651,-0.273084,0.468899,-1.314671,1.583932,-0.533791,-1.648652,-0.801608,0.230841,-1.510018,-1.106806,-0.395908,-1.008471,1.390599,0.568619,-0.60305,0.884936,-0.57355,-0.798502,-0.71519,-1.800222,2.493353,-1.516766,-0.274213,0.096742,0.009761,1.705089,-1.617722,-0.088428,-1.963456,0.226049,0.139505,-0.242062,-0.584544,-2.228001,-2.534162,3.224076,0.025999,-1.2078,2.181095,-3.983223,3.586394,1.996668,3.788243,2.412465,0.19082,-2.083862,0.081203
Leuthold Select Equities,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.520512,-5.005662,-5.953292,-0.453253,0.810355,-0.96382,0.225576,2.539706,-0.093618,1.833916,-0.620165,-1.616176,-0.820243,0.154642,1.042641,3.20802,0.716721,-1.664192,0.799402,-3.065075,2.519788,-2.578694,0.371993,0.680948,1.034323,-1.08218,-0.878039,-4.041277,-2.023396,-3.889373,-0.958553,0.959008,-3.82985,-6.380929,-8.154489,-2.955286,0.25386
Leuthold Select Industries,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3.240973,0.51285,0.184046,0.094444,-3.731893,-0.885189,-0.212306,-0.337705,-1.184244,-1.754539,-0.790228,-1.245394,-0.298494,-1.420567,-0.453098,2.738498,0.694582,-0.776315,-1.30075,0.77072,0.017038,-1.080907,-0.130151,1.602015,0.769615,2.424094,-0.389815,-2.617348,-2.097075,-2.025383,0.721898,0.559541,1.341945,-0.408899,-1.55807,0.397711,-2.742502,2.944133,-3.050645,2.213938,3.58832,-0.715233,-1.768744,0.190683,-0.491338,0.674975,0.63064,1.987733,1.974123,-0.460926,1.478127,-1.900866,-1.847119,0.441673,-1.904916,1.362397,0.307674,0.189258,-2.850833,-1.208446,2.459147,-0.633203,-0.504176,0.382711,-1.03458,-0.008941,0.330638,2.796659,0.160822,-0.988542,-0.731365,1.969213,-1.003807,0.368343,3.061608,-2.941294,1.623599,-0.072118,1.838258,-0.038227,-0.227432,-0.196826,-0.665521,-1.723354,1.005527,-0.375251,2.690568,-0.248315,-2.374414,-0.584603,-4.405254,-3.588939,-0.713025
